LEVEL	TIME (ms)
200	249
201	829
202	464
203	986
204	1053
205	166
206	321
207	345
208	392
209	1150
210	674
211	421
212	242
213	459
214	685
215	828
216	340
217	354
218	437
219	281
220	312
221	676
222	276
223	605
224	1993
225	445
226	432
227	456
228	1957
229	326
230	440
231	1093
232	730
233	477
234	631
235	529
236	541
237	639
238	375
239	834
240	391
241	1081
242	1326
243	1007
244	393
245	785
246	359
247	1191
248	616
249	759
250	872
251	461
252	463
253	1457
254	823
255	1778
256	728
257	536
258	531
259	1784
260	473
261	1218
262	602
263	1702
264	667
265	1158
266	2457
267	936
268	1620
269	888
270	3410
271	2210
272	426
273	466
274	722
275	1753
276	478
277	723
278	1463
279	378
280	940
281	1284
282	1599
283	1502
284	1681
285	1031
286	843
287	872
288	1980
289	2757
290	967
291	1550
292	4425
293	760
294	1609
295	755
296	1010
297	1595
298	2035
299	2273
300	2409
301	3790
302	947
303	690
304	663
305	1673
306	827
307	617
308	1150
309	671
310	1230
311	1669
312	1122
313	1071
314	990
315	1859
316	3511
317	947
318	1538
319	4423
320	1963
321	6220
322	2419
323	2218
324	2781
325	1075
326	1398
327	2869
328	5748
329	5166
330	2815
331	27406
332	4075
333	3740
334	10416
335	2400
336	43895
337	3211
338	4137
339	1878
340	4020
341	16406
342	1553
343	6160
344	3322
345	8764
346	3742
347	1888
348	2552
349	12183
350	1798
351	2650
352	5104
353	14280
354	13079
355	8219
356	19762
357	43918
358	10311
359	6802
360	5028
361	11558
362	1493
363	13816
364	2962
365	9416
366	8617
367	8180
368	4493
369	9953
370	5918
371	10838
372	5958
373	6234
374	5053
375	3805
376	4903
377	5883
378	11244
379	2057
380	6000
381	7946
382	5456
383	8559
384	14246
385	4498
386	4828
387	7242
388	17460
389	7205
390	20111
391	7879
392	14012
393	39163
394	11278
395	11178
396	15060
397	5770
398	4831
399	15276
400	13010
401	6774
402	4249
403	7476
404	22083
405	7270
406	14769
407	7753
408	5899
409	2855
410	8594
411	3438
412	8046
413	9959
414	29254
415	27966
416	41676
417	22956
418	33858
419	40656
420	46548
421	9944
422	44352
423	44624
424	33783
425	21738
426	7111
427	23704
428	27527
429	9718
430	21963
431	18967
432	36693
433	23978
434	7768
435	21438
436	44120
437	32811
438	2772
439	80290
440	69560
441	5858
442	17276
443	13174
444	121643
445	25191
446	12672
447	29859
448	14048
449	13930
450	21413
451	10156
452	8769
453	19404
454	34328
455	15666
456	35476
457	26100
458	21450
459	42658
460	116510
461	17802
462	38822
463	7074
464	27623
465	16387
466	9726
467	65061
468	44957
469	14095
470	36505
471	29126
472	11465
473	40928
474	20149
475	34032
476	21137
477	10823
478	41455
479	23918
480	9904
481	12987
482	51998
483	15564
484	11902
485	14877
486	48630
487	35768
488	54276
489	26820
490	10076
491	14724
492	45268
493	10348
494	49123
495	20124
496	52130
497	100722
498	62484
499	157914
500	29212
501	28122
502	7347
503	45647
504	8418
505	19699
506	72812
507	9353
508	31398
509	105916
510	13648
511	31481
512	13665
513	36920
514	29291
515	209672
516	24432
517	90573
518	47512
519	32592
520	63185
521	23616
522	45084
523	42784
524	25914
525	32611
526	39430
527	69636
528	92841
529	39476
530	74974
531	16754
532	18386
533	13455
534	15529
535	70467
536	17799
537	23800
538	45802
539	77270
540	83829
541	41349
542	38978
543	145754
544	42847
545	16218
546	88788
547	383246
548	31850
549	25203
550	10503
551	29236
552	46395
553	88462
554	16837
555	49289
556	81860
557	39950
558	23095
559	15381
560	26988
561	40572
562	18511
563	21740
564	44647
565	21241
566	95460
567	47091
568	39723
569	21941
570	523275
571	128375
572	75072
573	136079
574	129839
575	53125
576	201627
577	45719
578	96239
579	34775
580	112840
581	15987
582	38526
583	104008
584	62666
585	25616
586	36970
587	72323
588	210633
589	65030
590	69564
591	50512
592	42889
593	115836
594	31830
595	40650
596	185236
597	200320
598	18738
599	17865
600	60641
